FIXTURE,HOME TEAM,AWAY TEAM,LEAGUE
Arsenal V Stoke ,Arsenal,Stoke,EPL
Burnley V Bournemouth ,Burnley,Bournemouth,EPL
Chelsea V West Brom ,Chelsea,West Brom,EPL
Hull V Crystal Palace ,Hull,Crystal Palace,EPL
Leicester V Man City ,Leicester,Man City,EPL
Liverpool V West Ham ,Liverpool,West Ham,EPL
Man Utd V Tottenham ,Man Utd,Tottenham,EPL
Southampton V Middlesbrough ,Southampton,Middlesbrough,EPL
Swansea V Sunderland ,Swansea,Sunderland,EPL
Watford V Everton ,Watford,Everton,EPL
Bournemouth V Leicester ,Bournemouth,Leicester,EPL
Middlesbrough V Liverpool ,Middlesbrough,Liverpool,EPL
Sunderland V Chelsea ,Sunderland,Chelsea,EPL
West Ham V Burnley ,West Ham,Burnley,EPL
Crystal Palace V Man Utd ,Crystal Palace,Man Utd,EPL
West Brom V Swansea ,West Brom,Swansea,EPL
Everton V Arsenal ,Everton,Arsenal,EPL
Man City V Watford ,Man City,Watford,EPL
Stoke V Southampton ,Stoke,Southampton,EPL
Tottenham V Hull ,Tottenham,Hull,EPL
Bournemouth V Southampton ,Bournemouth,Southampton,EPL
Crystal Palace V Chelsea ,Crystal Palace,Chelsea,EPL
Everton V Liverpool ,Everton,Liverpool,EPL
Man City V Arsenal ,Man City,Arsenal,EPL
Middlesbrough V Swansea ,Middlesbrough,Swansea,EPL
Stoke V Leicester ,Stoke,Leicester,EPL
Sunderland V Watford ,Sunderland,Watford,EPL
Tottenham V Burnley ,Tottenham,Burnley,EPL
West Brom V Man Utd ,West Brom,Man Utd,EPL
West Ham V Hull ,West Ham,Hull,EPL
Arsenal V West Brom ,Arsenal,West Brom,EPL
Burnley V Middlesbrough ,Burnley,Middlesbrough,EPL
Chelsea V Bournemouth ,Chelsea,Bournemouth,EPL
Hull V Man City ,Hull,Man City,EPL
Leicester V Everton ,Leicester,Everton,EPL
Liverpool V Stoke ,Liverpool,Stoke,EPL
Man Utd V Sunderland ,Man Utd,Sunderland,EPL
Southampton V Tottenham ,Southampton,Tottenham,EPL
Swansea V West Ham ,Swansea,West Ham,EPL
Watford V Crystal Palace ,Watford,Crystal Palace,EPL
Arsenal V Crystal Palace ,Arsenal,Crystal Palace,EPL
Burnley V Sunderland ,Burnley,Sunderland,EPL
Chelsea V Stoke ,Chelsea,Stoke,EPL
Hull V Everton ,Hull,Everton,EPL
Leicester V West Ham ,Leicester,West Ham,EPL
Liverpool V Man City ,Liverpool,Man City,EPL
Man Utd V Middlesbrough ,Man Utd,Middlesbrough,EPL
Southampton V West Brom ,Southampton,West Brom,EPL
Swansea V Bournemouth ,Swansea,Bournemouth,EPL
Watford V Tottenham ,Watford,Tottenham,EPL
Bournemouth V Arsenal ,Bournemouth,Arsenal,EPL
Crystal Palace V Swansea ,Crystal Palace,Swansea,EPL
Everton V Southampton ,Everton,Southampton,EPL
Man City V Burnley ,Man City,Burnley,EPL
Middlesbrough V Leicester ,Middlesbrough,Leicester,EPL
Stoke V Watford ,Stoke,Watford,EPL
Sunderland V Liverpool ,Sunderland,Liverpool,EPL
Tottenham V Chelsea ,Tottenham,Chelsea,EPL
West Brom V Hull ,West Brom,Hull,EPL
West Ham V Man Utd ,West Ham,Man Utd,EPL
Burnley V Southampton ,Burnley,Southampton,EPL
Everton V Man City ,Everton,Man City,EPL
Hull V Bournemouth ,Hull,Bournemouth,EPL
Leicester V Chelsea ,Leicester,Chelsea,EPL
Man Utd V Liverpool ,Man Utd,Liverpool,EPL
Sunderland V Stoke ,Sunderland,Stoke,EPL
Swansea V Arsenal ,Swansea,Arsenal,EPL
Tottenham V West Brom ,Tottenham,West Brom,EPL
Watford V Middlesbrough ,Watford,Middlesbrough,EPL
West Ham V Crystal Palace ,West Ham,Crystal Palace,EPL
Arsenal V Burnley ,Arsenal,Burnley,EPL
Bournemouth V Watford ,Bournemouth,Watford,EPL
Chelsea V Hull ,Chelsea,Hull,EPL
Crystal Palace V Everton ,Crystal Palace,Everton,EPL
Liverpool V Swansea ,Liverpool,Swansea,EPL
Man City V Tottenham ,Man City,Tottenham,EPL
Middlesbrough V West Ham ,Middlesbrough,West Ham,EPL
Southampton V Leicester ,Southampton,Leicester,EPL
Stoke V Man Utd ,Stoke,Man Utd,EPL
West Brom V Sunderland ,West Brom,Sunderland,EPL
Arsenal V Watford ,Arsenal,Watford,EPL
Bournemouth V Crystal Palace ,Bournemouth,Crystal Palace,EPL
Burnley V Leicester ,Burnley,Leicester,EPL
Middlesbrough V West Brom ,Middlesbrough,West Brom,EPL
Sunderland V Tottenham ,Sunderland,Tottenham,EPL
Swansea V Southampton ,Swansea,Southampton,EPL
West Ham V Man City ,West Ham,Man City,EPL
Man Utd V Hull ,Man Utd,Hull,EPL
Liverpool V Chelsea ,Liverpool,Chelsea,EPL
Stoke V Everton ,Stoke,Everton,EPL
Chelsea V Arsenal ,Chelsea,Arsenal,EPL
Crystal Palace V Sunderland ,Crystal Palace,Sunderland,EPL
Everton V Bournemouth ,Everton,Bournemouth,EPL
Hull V Liverpool ,Hull,Liverpool,EPL
Leicester V Man Utd ,Leicester,Man Utd,EPL
Man City V Swansea ,Man City,Swansea,EPL
Southampton V West Ham ,Southampton,West Ham,EPL
Tottenham V Middlesbrough ,Tottenham,Middlesbrough,EPL
Watford V Burnley ,Watford,Burnley,EPL
West Brom V Stoke ,West Brom,Stoke,EPL
Arsenal V Hull ,Arsenal,Hull,EPL
Bournemouth V Man City ,Bournemouth,Man City,EPL
Burnley V Chelsea ,Burnley,Chelsea,EPL
Liverpool V Tottenham ,Liverpool,Tottenham,EPL
Man Utd V Watford ,Man Utd,Watford,EPL
Middlesbrough V Everton ,Middlesbrough,Everton,EPL
Stoke V Crystal Palace ,Stoke,Crystal Palace,EPL
Sunderland V Southampton ,Sunderland,Southampton,EPL
Swansea V Leicester ,Swansea,Leicester,EPL
West Ham V West Brom ,West Ham,West Brom,EPL
Chelsea V Swansea ,Chelsea,Swansea,EPL
Crystal Palace V Middlesbrough ,Crystal Palace,Middlesbrough,EPL
Everton V Sunderland ,Everton,Sunderland,EPL
Hull V Burnley ,Hull,Burnley,EPL
Leicester V Liverpool ,Leicester,Liverpool,EPL
Man City V Man Utd ,Man City,Man Utd,EPL
Southampton V Arsenal ,Southampton,Arsenal,EPL
Tottenham V Stoke ,Tottenham,Stoke,EPL
Watford V West Ham ,Watford,West Ham,EPL
West Brom V Bournemouth ,West Brom,Bournemouth,EPL
Leicester V Hull ,Leicester,Hull,EPL
Liverpool V Arsenal ,Liverpool,Arsenal,EPL
Man Utd V Bournemouth ,Man Utd,Bournemouth,EPL
Stoke V Middlesbrough ,Stoke,Middlesbrough,EPL
Sunderland V Man City ,Sunderland,Man City,EPL
Swansea V Burnley ,Swansea,Burnley,EPL
Tottenham V Everton ,Tottenham,Everton,EPL
Watford V Southampton ,Watford,Southampton,EPL
West Brom V Crystal Palace ,West Brom,Crystal Palace,EPL
West Ham V Chelsea ,West Ham,Chelsea,EPL
Arsenal V Leicester ,Arsenal,Leicester,EPL
Bournemouth V West Ham ,Bournemouth,West Ham,EPL
Burnley V Liverpool ,Burnley,Liverpool,EPL
Chelsea V Watford ,Chelsea,Watford,EPL
Crystal Palace V Tottenham ,Crystal Palace,Tottenham,EPL
Everton V West Brom ,Everton,West Brom,EPL
Hull V Swansea ,Hull,Swansea,EPL
Man City V Stoke ,Man City,Stoke,EPL
Middlesbrough V Sunderland ,Middlesbrough,Sunderland,EPL
Southampton V Man Utd ,Southampton,Man Utd,EPL
Bournemouth V Swansea ,Bournemouth,Swansea,EPL
Crystal Palace V Watford ,Crystal Palace,Watford,EPL
Everton V Hull ,Everton,Hull,EPL
Man City V Liverpool ,Man City,Liverpool,EPL
Middlesbrough V Man Utd ,Middlesbrough,Man Utd,EPL
Stoke V Chelsea ,Stoke,Chelsea,EPL
Sunderland V Burnley ,Sunderland,Burnley,EPL
Tottenham V Southampton ,Tottenham,Southampton,EPL
West Brom V Arsenal ,West Brom,Arsenal,EPL
West Ham V Leicester ,West Ham,Leicester,EPL
Arsenal V Man City ,Arsenal,Man City,EPL
Burnley V Tottenham ,Burnley,Tottenham,EPL
Chelsea V Crystal Palace ,Chelsea,Crystal Palace,EPL
Hull V West Ham ,Hull,West Ham,EPL
Leicester V Stoke ,Leicester,Stoke,EPL
Liverpool V Everton ,Liverpool,Everton,EPL
Man Utd V West Brom ,Man Utd,West Brom,EPL
Southampton V Bournemouth ,Southampton,Bournemouth,EPL
Swansea V Middlesbrough ,Swansea,Middlesbrough,EPL
Watford V Sunderland ,Watford,Sunderland,EPL
Arsenal V West Ham ,Arsenal,West Ham,EPL
Burnley V Stoke ,Burnley,Stoke,EPL
Hull V Middlesbrough ,Hull,Middlesbrough,EPL
Leicester V Sunderland ,Leicester,Sunderland,EPL
Swansea V Tottenham ,Swansea,Tottenham,EPL
Watford V West Brom ,Watford,West Brom,EPL
Man Utd V Everton ,Man Utd,Everton,EPL
Chelsea V Man City ,Chelsea,Man City,EPL
Southampton V Crystal Palace ,Southampton,Crystal Palace,EPL
Liverpool V Bournemouth ,Liverpool,Bournemouth,EPL
Bournemouth V Chelsea ,Bournemouth,Chelsea,EPL
Crystal Palace V Arsenal ,Crystal Palace,Arsenal,EPL
Everton V Leicester ,Everton,Leicester,EPL
Man City V Hull ,Man City,Hull,EPL
Middlesbrough V Burnley ,Middlesbrough,Burnley,EPL
Stoke V Liverpool ,Stoke,Liverpool,EPL
